ID,Latitude,Longitude,TelemDate,AID,Attribute
193,41.81544,-109.00719,4/9/2015 11:31,Jet,Winter range
194,41.8115,-109.01342,4/9/2015 14:16,Jet,Winter range
195,41.81068,-109.01939,4/9/2015 17:01,Jet,Winter range
196,41.80407,-109.01607,4/9/2015 19:46,Jet,Winter range
197,41.80499,-109.01567,4/9/2015 22:31,Jet,Winter range
198,41.80504,-109.01235,4/10/2015 1:00,Jet,Winter range
199,41.80593,-109.01237,4/10/2015 3:46,Jet,Winter range
200,41.80493,-109.01233,4/10/2015 6:31,Jet,Winter range
201,41.80434,-109.01268,4/10/2015 9:16,Jet,Winter range
202,41.80344,-109.01245,4/10/2015 12:01,Jet,Winter range
203,41.7987,-109.01819,4/10/2015 14:46,Jet,Winter range
204,41.79584,-109.01992,4/10/2015 17:31,Jet,Winter range
205,41.79461,-109.01693,4/10/2015 20:16,Jet,Winter range
206,41.79491,-109.01672,4/10/2015 23:01,Jet,Winter range
207,41.79489,-109.01532,4/11/2015 1:31,Jet,Winter range
208,41.7958,-109.01151,4/11/2015 4:16,Jet,Winter range
209,41.7964,-109.01583,4/11/2015 7:01,Jet,Winter range
210,41.79822,-109.01827,4/11/2015 9:46,Jet,Winter range
211,41.79863,-109.02566,4/11/2015 12:31,Jet,Winter range
212,41.79953,-109.02545,4/11/2015 15:16,Jet,Winter range
213,41.80303,-109.02184,4/11/2015 18:01,Jet,Winter range
214,41.80488,-109.01864,4/11/2015 20:46,Jet,Winter range
215,41.80545,-109.01727,4/11/2015 23:31,Jet,Winter range
216,41.80561,-109.01818,4/12/2015 2:01,Jet,Winter range
217,41.80491,-109.01724,4/12/2015 4:46,Jet,Winter range
218,41.8042,-109.01824,4/12/2015 7:31,Jet,Winter range
219,41.80241,-109.01977,4/12/2015 10:16,Jet,Winter range
220,41.80116,-109.02351,4/12/2015 13:01,Jet,Winter range
221,41.80086,-109.02407,4/12/2015 15:46,Jet,Winter range
222,41.8049,-109.02046,4/12/2015 18:31,Jet,Winter range
223,41.80574,-109.01982,4/12/2015 21:16,Jet,Winter range
224,41.80593,-109.02034,4/12/2015 23:46,Jet,Winter range
225,41.8055,-109.01959,4/13/2015 2:31,Jet,Winter range
226,41.80539,-109.01995,4/13/2015 5:16,Jet,Winter range
227,41.80006,-109.0196,4/13/2015 8:01,Jet,Winter range
228,41.80224,-109.02147,4/13/2015 10:46,Jet,Winter range
229,41.80207,-109.02243,4/13/2015 13:31,Jet,Winter range
230,41.80368,-109.02082,4/13/2015 16:16,Jet,Winter range
231,41.80693,-109.01345,4/13/2015 19:01,Jet,Winter range
232,41.80545,-109.01395,4/13/2015 21:46,Jet,Winter range
233,41.80472,-109.01615,4/13/2015 23:45,Jet,Winter range
234,41.80514,-109.01612,4/14/2015 3:01,Jet,Winter range
235,41.80606,-109.01307,4/14/2015 5:46,Jet,Winter range
236,41.80459,-109.01354,4/14/2015 8:31,Jet,Winter range
237,41.8041,-109.01279,4/14/2015 11:17,Jet,Winter range
238,41.80376,-109.01287,4/14/2015 14:01,Jet,Winter range
239,41.8027,-109.02222,4/14/2015 16:46,Jet,Winter range
240,41.80604,-109.01924,4/14/2015 19:31,Jet,Winter range
241,41.80596,-109.01885,4/14/2015 22:16,Jet,Winter range
242,41.8054,-109.01721,4/14/2015 23:45,Jet,Winter range
243,41.80529,-109.0172,4/15/2015 0:00,Jet,Winter range
244,41.80403,-109.01782,4/15/2015 2:46,Jet,Winter range
245,41.80454,-109.01757,4/15/2015 5:31,Jet,Winter range
246,41.80366,-109.01863,4/15/2015 8:16,Jet,Winter range
247,41.7995,-109.01898,4/15/2015 11:01,Jet,Winter range
248,41.80065,-109.02247,4/15/2015 13:46,Jet,Winter range
249,41.80106,-109.02272,4/15/2015 16:31,Jet,Winter range
250,41.802,-109.01728,4/15/2015 19:15,Jet,Winter range
251,41.80229,-109.01622,4/15/2015 22:01,Jet,Winter range
252,41.80188,-109.01847,4/16/2015 0:31,Jet,Winter range
253,41.8009,-109.01786,4/16/2015 3:16,Jet,Winter range
254,41.80172,-109.01764,4/16/2015 6:01,Jet,Winter range
255,41.80257,-109.01652,4/16/2015 8:46,Jet,Winter range
256,41.80126,-109.01731,4/16/2015 11:31,Jet,Winter range
257,41.80104,-109.01564,4/16/2015 14:16,Jet,Winter range
258,41.80487,-109.01219,4/16/2015 17:01,Jet,Winter range
259,41.80502,-109.00846,4/16/2015 19:46,Jet,Winter range
260,41.80523,-109.00861,4/16/2015 22:31,Jet,Winter range
261,41.80532,-109.00862,4/17/2015 1:01,Jet,Winter range
262,41.80981,-109.00032,4/17/2015 3:46,Jet,Winter range
263,41.80979,-109.00072,4/17/2015 6:31,Jet,Winter range
264,41.80939,-109.00281,4/17/2015 9:16,Jet,Winter range
265,41.80939,-109.0028,4/17/2015 12:01,Jet,Winter range
266,41.80919,-109.00064,4/17/2015 14:46,Jet,Winter range
267,41.80865,-109.00299,4/17/2015 17:31,Jet,Winter range
268,41.81234,-109.00122,4/17/2015 20:16,Jet,Winter range
269,41.81283,-109.00215,4/17/2015 23:01,Jet,Winter range
270,41.81306,-109.00225,4/18/2015 1:31,Jet,Winter range
271,41.81552,-109.00422,4/18/2015 4:16,Jet,Winter range
272,41.81417,-109.00846,4/18/2015 7:00,Jet,Winter range
273,41.81187,-109.01191,4/18/2015 9:46,Jet,Winter range
274,41.81271,-109.01022,4/18/2015 12:31,Jet,Winter range
275,41.81552,-109.00424,4/18/2015 15:15,Jet,Winter range
276,41.81377,-109.00302,4/18/2015 18:01,Jet,Winter range
277,41.81395,-109.00315,4/18/2015 20:46,Jet,Winter range
278,41.81556,-109.00362,4/18/2015 23:31,Jet,Winter range
279,41.81604,-109.00521,4/19/2015 2:01,Jet,Winter range
280,41.81573,-109.00517,4/19/2015 4:46,Jet,Winter range
281,41.81103,-109.01435,4/19/2015 7:31,Jet,Winter range
282,41.81075,-109.01834,4/19/2015 10:16,Jet,Winter range
283,41.82584,-109.00245,4/19/2015 13:01,Jet,Winter range
284,41.82822,-109.0032,4/19/2015 15:46,Jet,Winter range
285,41.82884,-109.00111,4/19/2015 18:31,Jet,Winter range
286,41.82572,-109.00048,4/19/2015 21:16,Jet,Winter range
287,41.82694,-109.00142,4/19/2015 23:46,Jet,Winter range
288,41.82857,-109.00255,4/20/2015 2:31,Jet,Winter range
289,41.82302,-109.00382,4/20/2015 5:16,Jet,Winter range
290,41.81199,-109.01034,4/20/2015 8:01,Jet,Winter range
291,41.81212,-109.01088,4/20/2015 10:46,Jet,Winter range
292,41.81082,-109.01216,4/20/2015 13:31,Jet,Winter range
293,41.81017,-109.01533,4/20/2015 16:16,Jet,Winter range
294,41.81261,-109.0167,4/20/2015 19:02,Jet,Winter range
295,41.81258,-109.01722,4/20/2015 21:45,Jet,Winter range
296,41.81813,-109.00885,4/20/2015 23:46,Jet,Winter range
297,41.81846,-109.00925,4/21/2015 3:01,Jet,Winter range
298,41.81582,-109.0069,4/21/2015 5:46,Jet,Winter range
299,41.81251,-109.0113,4/21/2015 8:31,Jet,Winter range
300,41.81078,-109.01238,4/21/2015 11:15,Jet,Winter range
301,41.81213,-109.01661,4/21/2015 14:01,Jet,Winter range
302,41.81222,-109.01602,4/21/2015 16:46,Jet,Winter range
303,41.81179,-109.01415,4/21/2015 19:31,Jet,Winter range
304,41.81501,-109.00718,4/21/2015 22:16,Jet,Winter range
305,41.81518,-109.0065,4/21/2015 23:45,Jet,Winter range
306,41.81519,-109.00651,4/22/2015 0:00,Jet,Winter range
307,41.81623,-109.00531,4/22/2015 2:46,Jet,Winter range
